Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer,Shuffle,Item,Max Time,Text,Trial Type,Settings,Condition
,,,,,,,,Instruct,,,,off,0,user,"Here are some tips for the task: <ol> <li>Be sure to catch the alien by pressing the left or right arrow keys when the alien appears on the screen. You will only have the chance to study the alien more carefully if you catch it first.</li> <li>You will have to remember each alien you meet as well as its habitat. Each alien has a unique habitat where it likes to hang out, and each habitat only has one alien associated with it. In other words, multiple aliens do not hang out in the same exact habitat.</li> <li>You will have multiple opportunities to meet and study the same aliens, so try your best to learn each alien and its favorite hangout spot!</li> <li>The habitats and aliens may look quite similar to each other—make sure you study all features of the habitats and aliens you come across!</li> </ol>",Instruct,,Blocked
1,4,1,1,2,4,2,B,Study,,basketball_2.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,2,1,2,B,Study,,basketball_1.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,2,2,2,B,Study,,basketball_3.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,2,3,2,B,Study,,basketball_4.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,2,1,2,B,Study,,basketball_1.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,2,4,2,B,Study,,basketball_2.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,2,3,2,B,Study,,basketball_4.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,2,2,2,B,Study,,basketball_3.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,2,4,2,B,Study,,basketball_2.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,2,3,2,B,Study,,basketball_4.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,2,2,2,B,Study,,basketball_3.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,2,1,2,B,Study,,basketball_1.jpg,Basketball,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,3,2,3,C,Study,,volcano_1.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,3,4,3,C,Study,,volcano_3.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,3,3,3,C,Study,,volcano_4.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,3,1,3,C,Study,,volcano_2.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,3,4,3,C,Study,,volcano_3.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
