Cue,Answer,Alt Cue 1,Alt Answer 1,Alt Cue 2,Alt Answer 2,Similarity Judgment,Similarity Judgment Subgroup,Context,Context Answer,ConCat,AdvShuffle; target cue,AdvShuffle Block,"AdvShuffle; Target Context, Context Answer, ConCat"
Images/Grossman/Grossman1.jpg,Grossman,,,,,,,Images/Context/mm/Atomium.jpg,Atomium,mm,1.1,1,mm
Images/Grossman/Grossman2.jpg,Grossman,,,,,,,Images/Context/mm/Bellagio_Fountains.jpg,Bellagio Fountains,mm,1.1,1,mm
Images/Grossman/Grossman3.jpg,Grossman,,,,,,,Images/Context/mm/Boston_Common.jpg,Boston Common,mm,1.1,1,mm
Images/Grossman/Grossman4.jpg,Grossman,,,,,,,Images/Context/nat/Amazon_River.jpg,Amazon River,nat,1.1,1,nat
Images/Grossman/Grossman5.jpg,Grossman,,,,,,,Images/Context/nat/Angel's_Landing.jpg,Angel's Landing,nat,1.1,1,nat
Images/Grossman/Grossman6.jpg,Grossman,,,,,,,Images/Context/nat/Arashiyama_Bamboo_Forest.jpg,Arashiyama Bamboo Forest,nat,1.1,1,nat
Images/Grossman/Grossman7.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman8.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman9.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman10.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman11.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman12.jpg,Grossman,,,,,,,,,,1.2,1,
Images/Grossman/Grossman13.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Grossman/Grossman14.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Grossman/Grossman15.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Grossman/Grossman16.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Grossman/Grossman17.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Grossman/Grossman18.jpg,Grossman,,,,,,,,,,1.3,1,
Images/Hawkins/Hawkins1.jpg,Hawkins,,,,,,,Images/Context/mm/Carnegie_Hall.jpg,Carnegie Hall,mm,2.1,2,mm
